ID,reviews
38,"After a pretty short wait, we were promptly seated inside. Everything on the menu sounded divine so we decided to really go all out, and I'm so glad we did. We got the fried clams (5/5), clam chowder (4.5/5), scallop crudo (4/5), raw oysters and clams (5/5), seared scallops (5/5), lobster spaghettini (5/5), lobster roll (4.5/5), and the cioppino (3/5). "
39,"I honestly could go on about every single item here and rave about it, but I'll just say that their seafood here is the freshest you'll get anywhere. If you have to pick a couple items, definitely go for their raw oysters, lobster roll, seared scallops, and daily special item. The scallops were the plumpest tastiest scallops I've had ... maybe ever. And they paired it beautifully on a bed of peashoots and peas/corn. Their lobster roll and lobster spaghettini were loaded with so much fresh lobster that we were finding hunks that fell out onto the plate or were left behind in the sauce. We spent about $350 on this meal, but we all felt it was money well spent. We left happy and we all agreed this was easily the best meal we had in Boston. "
40,Cons: 
41,"- Wait time for this place can get up to 2+ hours, so come early or be prepared to wait a long time "
42,- Seating is very limited and indoor area is very very small 
43,Pros: 
44,- Freshest seafood you'll find anywhere 
45,- All the dishes were well thought out and portion sizes were generous (plenty of seafood)
46,- Oysters here were so fresh
47,- Best scallop dish I've had
48,"Amazing seafood restaurant that is worth all the praise and hype (and long lines). Their raw bar selection is so good. We went with a few oysters, shrimp cocktail, and crab legs. For apps/entrees, I highly recommend the octopus. It's seasoned and cooked to perfection (not as chewy as my other experiences with Octupus) and is served with a delicious sauce. For entrees, there's a couple of good options but we went with the sea bass and it was so good. The spices in the meat and rice were so flavorful. "
49,"They don't take reservations, and wait times could be 2+ hours so plan accordingly. The good thing is they call you when your table is ready so I'd recommend putting your name down, grabbing a drink nearby and coming back once you receive a call."
50,"We came right before closing and what a relief! We had waited 2 hrs prior to get in since you can't make reservations here. We devoured everything except the calamari (which is the only thing I managed to get a picture of). We got the calamari, chowder, lobster roll, and of course oysters! Everything thing was delicious, however the chowder was a little bit too thin for my liking. Other than that it's a great restaurant with amazing staff!"
51,"Came here on a weekday for lunch around 1130 for a party of two, and to no surprise the restaurant was already packed. We got lucky and were seated within 5 min of arrival as we were the first in line. Hyped about this place, we knew we had to get the lobster roll. We also split the Neptune Burger for taste, and a couple of oysters as well. The highlight of course, was the lobster roll, which was nicely buttered, chewy, and flavorful. The only slight note is that the butter dripped all the way to the bottom as opposed to spread across evenly so the tasting experience was a bit uneven. The fries were a great addition as well. The oysters were also very fresh and juicy. The Neptune Burger added a nice solid taste to the seafood experience. Overall, pleased with the food - left very satisfied! Would recommend for anyone in the area looking for a fantastic lobster roll."
52,"Tbh I'm not a fan of raw oysters, but I would still eat them - only if they're fresh though! When we came here, my group had to wait an hour to get a table, but it was honestly so worth it!"
53,We asked a waiter what oysters she recommended and here's what I learned: 
54,-East coast oysters are larger and have a more salty/oceany taste. 
55,"-West coast oysters are smaller, sweeter and have more diverse flavors. "
56,I decided to try a few of each and I personally prefer the west coast oysters! But all of the oysters were so fresh along with everything else I ate!
57,I also tried the warm lobster roll with butter and I will never go back to cold ones  The bun was crisped perfectly and the lobster was absolutely delicious!!!
58,"Definitely recommend this place to Boston tourists, oyster lovers and oyster beginners!"
59,Had to stop by to try what is regarded as the best lobster roll in Boston! 
60,"This place is an extremely well-known and popular spot, especially for tourists, but beware that it is tiny - with its reputation and limited space, you could end up waiting a while for a table, especially if you have a larger party. We purposefully came during an off-time in the middle of the afternoon on a weekday so we thankfully didn't have to wait long at all to be seated."
61,"My husband and I both ordered the infamous Maine lobster roll, hot with butter - it was really good! The brioche bun was so soft and the lobster pieces were large and flavorful. However, it wasn't as crazy big as previous videos/reviews had made it out to be, so we finished it fairly quickly, and would we have waited 2 hours for it? Probably not. It was tasty but not mind blowing, and honestly felt a bit anticlimactic after all of the hype. We ordered a few items from the raw bar as well (had to get oysters at Neptune Oyster, right?). The oysters tasted fresh and the shrimp were large-sized."
62,"Besides the overhyped lobster roll, another minor disappointment was the ambiance in general - because seating is so limited, we were sat in the outdoor area, which was fine, but the whole set-up felt very cramped and we were literally sandwiched between another small table and the sidewalk, which ended up being quite distracting as we could unintentionally hear pretty much all of their conversation (and probably vice versa). Service was not bad but not great either - we did wait a while for our orders to be taken and for food to come out. We could also see/hear the line situation at the entrance the entire time and it seemed like a hot confusing mess, which the restaurant didn't really seem to offer much direction/help with (maybe because they know they have no lack of customers?). I saw in other reviews that people could leave their name/phone number and leave, but it doesn't seem like they started that until later in the afternoon/early evening from what we observed."
63,"Overall, we did enjoy our lobster rolls but it seemed like Neptune Oyster fell short in both the food and atmosphere/service. The whole experience felt very lackluster, especially as it was somewhere that we had high expectations for. Would still recommend to stop by early or during an off-time to try the lobster roll, but definitely would not wait hours for it!"
64,Worth. The. Wait. 
65,"We went right as they opened but still had a 45-minute wait until we were seated. The area had plenty to do while we waited, and the hostess called us back the moment a table was being cleaned up for us. The mussels and seared scallops were out of this world -- skip the basic dishes that you can get at one of the thousands of other Boston restaurants and try Neptune's incredible Calabrese mussels and scallops with kelp aioli. They were the highlight of our trip!"
66,"Food is solid but overall, the restaurant is severely over-hyped, expensive, and likely not worth the wait you're surely going to experience. The restaurant itself is tiny and almost impossible to have a conversation in, unless you're bordering yelling. "
67,"My friend and I had the Johnnycake, lobster pasta, and seafood stew. I would say the seafood stew was definitely excellent, whereas the Johnnycake was unecessarily oily (buttery?) and a little too heavy, and the lobster pasta with truffle was not a flavor bomb like you would expect from a dish with such  decadent (and expensive) ingredients. "
68,"Oyster selection is good, but you're guaranteed to get cheaper oysters that are just as good elsewhere (such as Waypoint in Harvard, or other $1 oyster spots in Southie)."
69,"ANTICIPATION THAT LEAD TO DISAPPOINTMENT! we waited 40 minutes because this was such a highly rated spot and recommended by many, friends and social media. but to our surprise, this was our most disappointing meal in Boston. we all thought we had covid cus we couldn't taste any flavor. but then i dipped my fries into ketchup and realized the food here sucks. clam chowder were bland, watery, minimal clams, potatoes not even fully cooked. uni pasta looks appetizing but is also bland, lots of butter tho which became overwhelming after a few bites , thank goodness for the bacon that kind of saves it. lobster roll lackes flavor, not enough butter, and dry. a moment of silence for the lobster that sacrificed itself but failed to indulge our palates. the seafood cioppino needs salt like i need oxygen. thank goodness that it's hard to mess up oysters cus they saved this review from a 1 star.  if you're curious, go for it. if you like food with flavor, save your time and money and don't wait 40 mins in line like we did."
70,"We went in Tuesday afternoon. There was a line of people waiting outside of the restaurant. This place is very tiny! We waited about 20mins till we are seated. Luckily we got a table inside. There are 3,4 tables in front of the restaurant also. We ordered fresh oysters from the cold bar, mussels and lobster roll with cold mayonnaise. Everything was good. While we were enjoying our food it stated to rain and people at outside table had to rush inside, waiters were busy making space for those customers."
71,"1star for our nice server but we witnessed the other employees not being so kind to other customers and 1 star for Johnny cake and also this place has good fries. DONT GO HERE for lobster rolls, though- we had a few on our table and not one was impressive SADLY. Bland and rubbery texture, they do give you a whole bunch of lobster but super hyped spot- very disappointed, I wanted to like it too as I looked forward to my Boston trip with this place in mind. Save your money and go elsewhere."
72,Whenever someone tells me they are going to Boston I immediately ask if they like oysters and if they do I recommend this spot. It's very small inside but they have a good system in place. You'll wait in line to add your name to the list and then they will call you when your table is ready. We walked over to the marketplace and got to explore more of the city. Once we were seated.
73,We ordered a plethora of different types of oysters. They have such a great selection of fresh fish and raw bar selections. The bluefin crudo was exceptional.  I would highly recommend getting a crudo. Bring an appetite and try a selection of the oysters. I wish we had one in Orlando!
74,Short summary: Absolutely worth the wait! 
75,"Long summary: this place doesn't take reservations, it has capacity for 4-5 tables of two and has plastic dividers in between. We put our name down around 6:30 and were told the wait is around 30 mins, which wasn't too bad. We got a call back within the estimate: inside, the space is small and lightly dimmed. The staff was very friendly and everyone was wearing masks. Bonus! They make you sanitize before using the washroom, which is great. We felt pretty safe. "
76,We got a few oysters and jumped to the main. The oyster bar has many types of oysters to choose from so you'll definitely find something you like. I preferred the ones with a citrus aftertaste. My friend liked the west end brine. 
77,"The mains: oh boy, the serving size is totally worth the money! You get a ginormous amount of seafood. I went with the North End Cioppino which came with some bread. My friend got a seared bluefin fish which came with a salad. The food tasted great.  The cioppino was spicy and filling. "
78,5/5 for service
79,5/5 for food 
80,5/5 for ambience
81,5/5 for covid safety
82,Definitely worth the wait.
83,"This place has over 5k reviews for a good REASON!! WOW. The hot and buttered lobster roll. My lord. If you wanted a taste of heaven, go here and get it NOW. That is all."
84,"Line out the door no problem, put you name on the list they will call you , walk around have a cocktail nearby, "
85,"1-1 1/2 hour waits not uncommon,"
86,Worth the wait yes.
87,"I have had west coast oysters and east coast,"
88,"This place is the best,"
89,"Small place maybe a little loud but that's all part of the experience, They serve beer and wine."
90,Walking distance from the T.
91,If you are here and want some seafood give this place a try.Lobster roll is pretty dam delicious too.
92,"The service is great , This place runs well."
93,We will be back.
94,My husband and I were visiting Boston and a friend took us here. I've heard great things about Neptune. We were so lucky there wasn't a wait on a Monday afternoon. 
95,"I ordered the Monday special, Lobster spaghettini ($38). It was freaking delicious! There was a lot of lobster and clams. The entrée was light and not heavy. Man, I want some right now. We also ordered the bluefin with cavier. I did not think I would like this but I enjoyed it a lot. The bluefin spread over a thin piece of bread, toasted and buttered. The lobster rolls come in either hot (with butter) or cold (with mayo). I opted for the hot one. It was so good, not overly buttery and very good amount of lobster. "
96,I do not eat oysters but my husband and friend loved the oysters. They ordered 2 of each to try. The menu with the notes of each oyster was very helpful. They ordered more after trying them all.  
97,"I highly recommend Neptune Oyster for the delicious food and wonderful staff. Get the lobster roll, oysters, and lobster spaghtettini! I'll be coming back the next time I'm in town."
98,AMBIENCE: 
99,"- As you would expect in any touristy places, it is crazy crazy busy. The place is cramped and stuffed with customers and staff to the point where you're almost shoulder to shoulder. This is not a surprise in a place as busy as this. The inside is still very cute, only wish were able to enjoy it more since the place was a bit tense from all the action."
100,SERVICE: 
101,"- We put our names down at around 4:30 on a July weekday and got told 40 min wait, got seated at around 5:15. I was worried about coming here during peak tourist month but we were lucky that we came on a weekday for a super early dinner as we were hungry already. "
102,- Food came fairly quickly considering how busy this place was. The servers and the hostess were very pleasant and served us with smiling faces even though they have been running around all day.  
103,FOOD/DRINKS:
104,- Oysters = we got 1 of each. Fresh and delicious as always with a meaty body. But there are many other better places to get the same fresh oysters for much much cheaper.
105,"- Nantuket Bluefin = I must say, this was quite a disappointment. Perhaps it just wasn't what I expected since I didn't know the Bluefin would be raw. Don't get me wrong, I love raw fish. But this bluefin in particular was pretty plain and lacking the freshness of the sea I am used to tasting with raw fish. The spices they put on top of the fish was also plain and made me think why they even bothered if it didn't contribute to the flavor profile. The searing was done well, evenly throughout the entire fillet and just the right amount. The salad it came with was drowned in vinaigrette, which I typically prefer but it was just very very sour. The anchovies were plenty and very fresh. The strong flavors of the anchovies paired well with the bluefin as well as the salad but I would say the anchovies on top of the salad as a specific combo is way too high in salt that it overpowers my tongue. One up side is the size of the dish - the high price and the lack of flavors would've made me a bit more upset at getting this but the Bluefin they gave was almost the size of a full steak and the anchovies were plenty."
106,OVERVIEW: 
107,- Come for the food but hold your wallets for the oysters as other places offers oysters just as good for a fraction of the price. Only got 3 stars since the Bluefin has some working to do with its flavor profile but I've been here before and the food has not disappointed (get the Scallops!).
108,PROS:
109,"- Despite how busy they are, the service is great. Our waitress and the hostess were all smiles even though I'm sure they were beyond tired since we didn't get a table until 8:30pm. "
110,CONS:
111,- Be prepared for the wait. 2 - 3 hr wait is not unexpected. It's the main reason why I never tried this place. But it is certainly worth it.
112,"- Very small space. It's pretty crowded in there, which contributes to the long wait. So don't expect to be sitting comfortably. But let's be honest, you came here for the food and the food only anyway."
113,- Such such fresh sea food (See specifics).
114,SPECIFICS:
115,"- Oysters (Single) = So so fresh. I ordered 4 oysters (the waitress recommended as her favorite) and 1 clam. They all came out really fresh and clean, none of the sand that some people had complained about. They were all pretty hearty in size, with the lumps of meat glistening in their natural juices. I prefer to eat them without any additional sauces except for a little squirt of lemon since I like to taste most ingredients as their intended by the chief or nature and they all had that sweet-salty taste of the ocean with every bite. I need to come back just for this!"
116,"- Seared Georges Bank Scallops = So so so delicious. I love scallops but I never knew I could love them this much. They were seared to perfection with a little hint of a delicious brown around the circumference. They were juicy and meaty with every bite and there was a hint of lemon juice that elevates the sweetness of the scallops. The bedding of pea tendrils and corn was good. Pea tendrils tend to be quite coarse but they cooked it into a nice tenderness and the corn was sweet and matched well with the cream sauce dressed on the vegetables. My only problem was the bacon. It was delicious, as all bacon will ever be, but it was just too much. And with an ingredient that's so heavily based on a single main taste (saltiness), it should be used with caution. I ate the first half of the dish leaving all the bacon in but eventually, the salt of the bacon just overwhelmed my palet. I started to pick out the bacon and was left with a huge pile on the plate, which just goes to prove my point of how much there was on there."
117,OVERVIEW:
118,Is it really hyped up? Yes. It is touristy? Yes. But is it worth it? Yes. Such fresh seafood and prepared deliciously.
119,"Expect a wait time! Came here to Boston and this restaurant was highly recommended by locals. Fried Clam = BOMB, Fried Calamari = BOMB, and Maine Lobster Roll = BOMB. The clam chowder was ok. I have it a four start due to the wait and tables were really really small and the inside is pretty crowded. Great servers though!"
120,So delicious. I was amazed at the selection of oysters. The oysters were perfect!! We had warm lobster rolls MKP 34 comes w fries or salad. Salad is just a mixture of greens w house vinegar. No other choices of dressing. Lobster roll was down right amazing!!!
121,"Oysters- some of best I have ever had, stuck to all east coast local oysters and really enjoyed each of the 5 we tried."
122,Hot lobster roll- absolutely amazing what else needs to be said? 
123,"Neptune Johnny cake with smoked bluefish- very interesting and really good. The Johnny cake is incredible, bit too greasy, but the honey butter and smoked bluefish pair for an incredible combo."
124,"Came here for my 1 day trip ito Boston. Came here to line up 30 min before they were open and luckily we did since the outdoor seatings get taken pretty quickly. We sat outside since it was a pretty nice day out. We ordered the lobster roll and a few oysters. We were super excited for the rolls but were left with a bit of disappointment. It was seasoned well, but it was slightly overcooked and a bit dry. On the other hand I really enjoyed the oysters. They were super fresh and were cleaned with no sand bits on the shells. We came here for the lobster rolls but fell in love with the oysters more. The service here was also amazing. Definitely worth coming here!"
125,"Lovely dining experience. Came here a little after 12 on a semi-rainy Sunday. They sat me immediately, and I noticed my single table wasn't sturdy, so I was moved inside to the bar immediately. While waiting for my roll, I watched the madam in front of me shucking oysters. The decor was nice, and I personally like how small the place is. Gives it a more intimate vibe. "
126,"The food: I'm from the Midwest so I try to eat lobster as much as possible when I come out to the NE. This was not the best roll I've had and that's only because I personally did not like the roll that Neptune has chosen. It was still a 5 star experience, regardless of my bread preference. "
127,"Other than that, the lobster was fantastic, the fries were pretty perfect, and my beer was cold and tasty."
128,First time here
129,Came in before 5:00 pm so not much waiting time. But this place seems like people eat and go quite in a good fast pace.
130,"The waitresses are all very nice, friendly, kind and professional."
131,We got what we want. And nice appropriate amount for us.
132,The oysters were gone quickly. It means only shell photo.. lol
133,Everything was yummy
134,"When we will come to Boston, this is a great small nice restaurant to stop by."
135,I like there homemade lemonade as well
136,We heard about this place so much we just had to come here and try and it did not disappoint! We started off with some oysters that was recommended by the server and they were all good! I liked the sweet flavored one.
137,"We then got clam chowder, hot Maine lobster roll, and the Monday special which way lobster spaghetti which was just super flavorful! I would recommend this to anyone traveling to Boston to give it a try!"
138,Highly rated restaurant that I needed to try! This was my first time having a cold lobster roll and it didn't disappoint! The lobster was light and flavorful without being too overwhelming. We got to the restaurant a few minutes prior to opening and was seated right away. They have indoor and outdoor options for seating.
139,so many kinds of oysters! 
140,"And the menu is also plenty of choices, not only oysters and lobster rolls, but also lots of other seafood dish."
141,I queued for 1 hour on Sunday afternoon.
142,Covid review :
143,I came here in August and did a to go order since there was a 2 hour line.
144,Alright ill get right down to business. 
145,"The oysters? Are amazing. They're a little on the small side, but they are cleaned to perfection and tasted so good.  I had various flavors locally. They are a must get. "
146,"Lobster roll totally changed my views on lobster rolls. Its expensive, but worth every penny...ALMOST. why the 4 star review and almost worth every penny ? I'll tell ya why.  They butter their lobster meat and roll so much that the bread/roll actually turns to moosh. They roll basically melts. This was very messy to eat as there is an abundance of fresh, hot lobster meat on top. If they can just melt a little less butter, id have to say this might be the best lobster roll I've ever had.  The roll is overdosed with fresh lobster meat and thats it. No fillers and no extras. The lobster is the true star of the show. "
147,2 hour wait? Order with the staff and grab a drink down the block at the Bodega like we did and come back.
148,10/10 best oyster experience I have EVER had! We let our amazing server choose our oysters which had us ordering more of our favorites that she selected. Great place!
149,"Rarely do I write a review and EVEN more rare, if ever, is that review written after waiting over an hour to get in. But my, oh my. This place was outstanding. Starting with an amazing bartender, Jillian, who starred her oyster favorites as soon as we sat down. And she did not disappoint. We then took her advise; blue fin crudo, scallop appetizer special, Johnny cake, razor clams and the cioppini (my least favorite and nothing I would get again) but everything else was to.die.for. Bravo to the owner and staff. Do yourself a favor and wait for this food. It was so so good"
150,"Neptune Oyster was one of my favorite pre-pandemic places to eat, and I'm glad that they have an outdoor patio that makes it easy again to get delicious seafood at this tiny North End spot."
151," I won't spend a ton of time talking about the food, because it's phenomenal and most reviews will tell you that, but I will say that this is my fiancé and my's go-to spot when we want great service, great food, and a bit of a splurge. It is expensive, but it has always felt like an appropriate price for the experience we have. "
152,"My main tip is to go right at 5 (or earlier if possible) on a week day so that you can get a table more easily. Any later than that and you'll be waiting for a long time - they don't take reservations and unless you want to join the line of people that also think this place is amazing, coming at an off time if the way to go."
153,"This place was highly recommended to us by friends who had been to Boston before. We knew it would be hard to snag a dinner spot based on what they told us and general Yelp, but luckily only had to wait about 20 minutes on a Friday night before getting seated (this was 7ish, and the line only grew longer as the night went on). The servers were friendly and prompt in seating everyone and give you a choice of inside or outside dining - we went with outdoors because it was a nice night and the first thing available. While waiting in line, we enjoyed watching the oyster shucking going on inside (see pic). We had been snacking all day on yummy seafood so knew we just wanted some light fare. We went with 1 dozen fresh East Coast oysters and a burger which arrived in good time and we quickly scarfed up. Being in NYC, we do have access to good oysters as well, but it was nice to get these so close to the source. It seemed like their black ink risotto was another popular dining choice and we will have to come back to try that and some of their other dishes!"
154,"Food looked good but the room was too small, loud and overcrowded. The help was nasty. Such a gift after waiting outside in the cold for a seat."
155,"HYPE, HYPE & HYPE!"
156,"Had oysters, Neptune Johnnycake and Cioppino. Overpriced oysters at best."
157,"Neptune Cake - A scoop of bumblebee tuna on top of a 'House of pancake'  pancake with syrup.  Cioppino? a joke. Compare to one from sottomare in San Francisco, this is like left over cioppino from sottomare in a dish water... sSO BLAND and the content or lack there of... "
158,I plunked down $100 and had to get a slice of pizza I was so hungry.  Tourist ripoff joint. 
159,Bad idea.
160,Great food and selection of oysters. Loved the scene. 
161,Obviously the line to get in let's ya know it's worth it.  Lobsta rolls were awesome.
162,4.5 stars for most famous lobster roll in Boston- really delicious but watch out for long lines and spending $$$. 
163,"I love that you can customize your order for the lobster meat to be (1) hot or cold, and I definitely wanted the hot version, and (2) to be ordered with fries or salad, and we got one of each. The waitress also recommended the hot version sandwich. The bun was a lot softer and squishy or than I expected, but I actually really liked it because I enjoyed how it felt like it melted in your mouth (there was a lot of butter fyi!). There is a lot of good size lobster pieces in it since some rolls feel like they don't put enough lobster."
164,"I would probably go out for a lobster roll for a special occasion but it's pretty expensive for just a regular dinner out ($34/roll for market price when we went). I'd recommend getting one if you're in town because traveling somewhere new is a special occasion! I saw a LOT of people on dates when we went, hah. "
165,"Long wait and they don't take your name down, you have to just wait by the door instead in the line and it's quite narrow if a sidewalk. Not the most handicap friendly since there's no seating nearby as well. The bathroom is also really really tiny and not easy to move around as well. There is both indoor as well as outdoor seating."
166,"You can order takeout online, but they don't serve lobster rolls."
167,"We also ordered raw oysters (they were all good but I'm no expert) and the uni toast (skip this, not worth it, you should get the raw uni instead because the toast had no uni flavor). I think I would have liked the restaurant more but the uni toast was really disappointing :(."
168,Great oysters from different bays (altho pricey)! The line is sometimes too long and their space is very limited. No reservations make it inconvenient. I'd come back but definitely just for the oysters to know where the best ones are from.
169,"We read so much about Neptune Oyster, with a long wait for a table.  That's why we waited to try this place on a Monday for lunch.  Since the area was getting rain today, we walked in and got seated straight away.  This place is tiny like most restaurants in the area so I highly suggest getting to this place early."
170,"We had two great servers that were friendly, inviting and made you feel at home here at Neptune Oyster.  They were full of information about every dish they served and every dish we asked about.  They service alone is a 5 Star, the ambiance just screams quaint little seafood restaurant."
171,"There were SO many great choices to make off of their menu, including the oysters, but we decided to try one of the ""Today's Special,"" and the WellFleet Clam Chowder.  We started off splitting the Wellfleet Clam Chowder and let me tell you, it had to be the best clam chowder I have ever had.  The potatoes were cooked perfectly, they were al dente and the clam ratio was spot on, along with great flavor.  Then we split the Lobster Spaghettitini and all I can say is that it was AMAZING!!  It had such great flavor with tons of lobster meat, tomatoes and it was a very light dish.  It did not sit heavy in the belly.  I highly recommend these two dishes alone if you ever visit Neptune Oyster."
172,This is a must return restaurant if ever back in Boston.  You can't go wrong with GREAT service and GREAT seafood!
173,"We came on a Tuesday for the sea urchin special and unfortunately they had to change the pasta on us. We were like nooo forget it in a joking manner. And the kind host was like ahhh fuhhhgetta about it. We were sold right from that moment on. I mean we've been here before but that just sealed the deal folks, we died of laughter. Come early come on a weekday and eat your seafood hearts out. Everything is delicious. Get that friggin Johnny Cake while you're at it and a local IPA is a must on draft!"
174,"We were up here in July 2020, at the height of COVID, I guess?  The city had just opened up indoor dining again.  I don't know what this tiny street looked like pre-COVID but when we were there, half of the street was blocked off to allow for outdoor seating.  If it wasn't like that before, they should consider keeping it with outdoor seating in the streets.  Such a lovely, fun atmosphere of food lovers.  Up and down the street and around the corner are tons of restaurants of different kinds.  The one with the longest wait is probably Neptune and with good reason.  The food is incredible!"
175,"There were 3 of us and we each had the lobster roll.  We went there with one thing in mind, and it was lobster rolls.  There's two options, hot with butter or cold with mayo.  I went with the cold one since it was July and hot out and man o man!  It was amazing.  Worth the wait.  The sandwich was overflowing with chunks of lobster with just a hint of creaminess from the mayo."
176,We also had oysters and clams from the raw bar and they too were delicious.  I am a huge fan of raw clams.  I think I like them more than I like raw oysters.  Their saltiness and firm texture is the perfect bite of seafood in my opinion.
177,I highly recommend Neptune to anyone who has never been and to anyone visiting Boston.
178,I had a great experience! The line was so long but it made waiting for my food all the more better. 
179,I got the frutti di mar because I've never had seafood pasta before! I must say I am now converted and this is incredible. It had the lobster sauce in it which was also delicious! 
180,I got the garlic bread and really had a great time!
181,We got takeout from Giacomo's and ordered the Frutti de Mare with the fracomo sauce and lobster ravioli. 
182,The frutti de mare is good. The sauce and pasta is amazing! We also got the ravioli based on other reviews but we thought it was average.
183,RUDE RUDE RUDE RUDE RUDE RUDE RUDE RUDE I HAVE NO IDEA WHY SO rude. 
184,How does this business even function?
185,They don't accept cards- really wtf? And the staff has such a bad attitude. Can someone please ask them to be polite and nice and kind? You're in the service industry that's the least you can do!
186,Small space. Cash only!
187,"In a cute part of town, I love the feel of this place.  "
188,"Service is quick, they're pretty busy all the time. "
189,Got all seafood because everyone mentioned the great selection.
190,"Seafood was pretty good, however the sauces were pretty bland with a solid lobster broth. The pasta didn't have much texture like chewiness/firmness. "
191,"Pretty underwhelming, however this spot is well known."
